project_ID,project_name,category,state,backers,country,usd_pledged_amt,usd_goal_amt
1010440168,"Powerful, Simple, Elegant Jewelry for unique individuals",Fashion,canceled,1,AU,0.72,5737.23
1010441842,"Se Parte De Una Nueva HazaÃ±a + Recibe algo Cool y Exclusivo! (video w/subtitles)",Music,successful,76,US,5237.88,4300
1010450782,"Dino Run 2",Games,failed,1794,US,83476.21,175000
1010455121,"The Pizza Grate",Food,failed,33,US,2914,5000
101045682,"Evelyn's Bakery",Food,failed,18,US,775,20000
1010458159,"RapidDisk (rxdsk): An Advanced Linux RAM Disk Module",Technology,failed,7,US,136,2500
1010470904,"Skeleton Warriors Glyos Compatible Action Figures",Design,successful,878,US,50140.01,45000
1010485287,"Driven By Hope: A true story of defying all odds",Publishing,successful,167,US,30230,30000
1010490795,Exodus,Games,failed,5,US,10038,65000
1010493504,"Dole: A Documentary","Film & Video",successful,136,US,16159,16000
1010499354,"Booze Books Chapter 2:  Sherlock Holmes & Edgar Allan Poe",Design,successful,338,US,16397,7500
1010516592,"A Â£13 Poem",Publishing,successful,17,GB,192.95,19.99
1010520966,"Zsa Zsa Slipper, Shoe combination",Fashion,failed,4,US,2860,20000
1010522754,"Help fund theater education programs with The Primo Academy!",Theater,failed,3,US,40,1000
101052958,"Shelter Arcade Bar",Food,successful,147,US,25264,25000
1010533974,"Studio and Equipment Funding","Film & Video",failed,2,US,20,50000
1010534216,"Help MyVanityFashion Online Jewelry Business Grow",Fashion,failed,0,US,0,1500
1010535635,"NODE Chroma, a wireless color scanner for iOS and computers",Technology,successful,273,US,39473.14,15000
1010543801,"The NEXT LEVEL",Design,failed,20,US,1573,49550
1010554396,"Life Size Pokemon!",Art,failed,9,US,150,650
1010555504,"E.G. Romero Project || Just the beginning",Music,successful,40,US,3546,2800
1010557781,""A World of Art" Children's Book",Publishing,successful,18,US,725,500
1010574576,"Rat Bastard (The Movie)","Film & Video",failed,0,US,0,3000
1010578706,""VICIOUS" A Kwanza Jones Fan Video Directed By A 15 Year Old","Film & Video",successful,13,US,525,500
1010584633,""A Fresh Start"","Film & Video",successful,24,US,3000,3000
1010591158,"Oil & Water - A Documentary Film","Film & Video",successful,43,US,9661,5000
1010592822,"Mike Giacolino's Solo Album Kickstarter!",Music,successful,51,US,2580,2000
101059690,"Wife & Son's debut album "This, That and The Other"",Music,successful,32,US,1601.11,1500
